occupation,n,cumprop,occupationmatched,ses
apartment owner,72,0.938193223,,1
Bear Blvd,72,0.938250817,,1
Benson Ave,72,0.938308411,,1
defense worker,72,0.938366004,,1
glass blower,72,0.938423598,,1
ins underwriter,72,0.938481192,,1
labeler,72,0.938538785,,1
merchandiser,72,0.938596379,,1
Rancher Ave,72,0.938653973,,1
Sapphire St,72,0.938711566,,1
Tippecanoe St,72,0.93876916,,1
apartment house manager,71,0.938825954,,1
Livermore retired,71,0.938882747,,1
male barber,71,0.938939541,,1
mason,71,0.938996335,,1
mechanic's helper,71,0.939053129,,1
mechanical eng,71,0.939109922,,1
potter,71,0.939166716,,1
a,70,0.93922271,,1
advertising manager,70,0.939278704,,1
auto mech,70,0.939334697,,1
Bdno Ave,70,0.939390691,,1
Federal employee,70,0.939446685,,1
femn housewife,70,0.939502679,,1
food clerk,70,0.939558673,,1
junk dealer,70,0.939614667,,1
life underwriter,70,0.93967066,,1
ticket agent,70,0.939726654,,1
comptroller,69,0.939781848,,1
evedore,69,0.939837042,,1
hlousewife,69,0.939892236,,1
power machine opr,69,0.93994743,,1
serviceman,69,0.940002624,,1
shoe merchant,69,0.940057818,,1
time keeper,69,0.940113012,,1
a av housewife,68,0.940167406,,1
advertising man,68,0.9402218,,1
apt owner,68,0.940276194,,1
automobile mechanic,68,0.940330588,,1
bridge builder,68,0.940384981,,1
Cucamonga Ave,68,0.940439375,,1
Hellman Ave,68,0.940493769,,1
Jersey St,68,0.940548163,,1
mail handler,68,0.940602557,,1
male foreman,68,0.940656951,,1
male physician,68,0.940711345,,1
Mining At,68,0.940765739,,1
social service,68,0.940820133,,1
varnish maker,68,0.940874527,,1
vocal teacher,68,0.940928921,,1
auto assembler,67,0.940982516,,1
check clerk,67,0.94103611,,1
die maker,67,0.941089704,,1
fer housewife,67,0.941143298,,1
finance,67,0.941196892,,1
milk salesman,67,0.941250486,,1
Alvarado laborer,66,0.94130328,,1
egg candler,66,0.941356074,,1
hotel proprietor,66,0.941408868,,1
male farmer,66,0.941461663,,1
Merrill Ave,66,0.941514457,,1
radio mechanic,66,0.941567251,,1
sheet metal work,66,0.941620045,,1
shipper,66,0.941672839,,1
tower man,66,0.941725633,,1
Well Dr,66,0.941778428,,1
butler,65,0.941830422,,1
cafeteria,65,0.941882416,,1
esser,65,0.94193441,,1
exporter,65,0.941986405,,1
hsw,65,0.942038399,,1
male blacksmith,65,0.942090393,,1
nue clerk,65,0.942142387,,1
P 0 employee,65,0.942194382,,1
Tel Co,65,0.942246376,,1
vice president,65,0.94229837,,1
carpenter's helper,64,0.942349565,,1
claim agent,64,0.942400759,,1
howf,64,0.942451953,,1
male insurance,64,0.942503148,,1
newsboy,64,0.942554342,,1
retired army officer,64,0.942605536,,1
ron,64,0.942656731,,1
telegraph opr,64,0.942707925,,1
traffic mgr,64,0.942759119,,1
typewriter mechanic,64,0.942810314,,1
wholesaler,64,0.942861508,,1
Alvdo hswf,63,0.942911903,,1
ayman,63,0.942962297,,1
beauty parlor,63,0.943012691,,1
cigar maker,63,0.943063086,,1
clerical worker,63,0.94311348,,1
concrete worker,63,0.943163875,,1
houaewife,63,0.943214269,,1
house work,63,0.943264664,,1
ins,63,0.943315058,,1
legal secretary,63,0.943365452,,1
mining engr,63,0.943415847,,1
o laborer,63,0.943466241,,1
painting,63,0.943516636,,1
school nurse,63,0.94356703,,1
senior clerk,63,0.943617425,,1
ship rigger,63,0.943667819,,1
tallyman,63,0.943718214,,1
tinsmith,63,0.943768608,,1
tire merchant,63,0.943819002,,1
Acacia St,62,0.943868597,,1
apprentice,62,0.943918191,,1
Etiwanda St,62,0.943967786,,1
Fifth St,62,0.94401738,,1
furnace man,62,0.944066975,,1
Leuvan St,62,0.94411657,,1
lhousewife,62,0.944166164,,1
Linden St,62,0.944215759,,1
Magnolia St,62,0.944265353,,1
newspaper work,62,0.944314948,,1
beauty shop,61,0.944363742,,1
beer bottler,61,0.944412537,,1
femrn housewife,61,0.944461331,,1
fruit dealer,61,0.944510126,,1
h housewife,61,0.944558921,,1
house maid,61,0.944607715,,1
public health nurse,61,0.94465651,,1
Alice St,60,0.944704505,,1
Almond St,60,0.944752499,,1
carpente r,60,0.944800494,,1
cement work,60,0.944848489,,1
Centerville housewife,60,0.944896483,,1
governess,60,0.944944478,,1
house manager,60,0.944992473,,1
Housewife St,60,0.945040468,,1
lumber dealer,60,0.945088462,,1
Ninth St,60,0.945136457,,1
notary public,60,0.945184452,,1
Oaks Ave,60,0.945232446,,1
P G E,60,0.945280441,,1
shoe clerk,60,0.945328436,,1
shoe repairing,60,0.94537643,,1
to st,60,0.945424425,,1
tuck av housewife,60,0.94547242,,1
auto body builder,59,0.945519615,,1
blacksmith helper,59,0.945566809,,1
book binder,59,0.945614004,,1
building supt,59,0.945661199,,1
cigar clerk,59,0.945708394,,1
house mover,59,0.945755589,,1
ins salesman,59,0.945802783,,1
mining eng,59,0.945849978,,1
newspaper reporter,59,0.945897173,,1
paper ruler,59,0.945944368,,1
R R brakeman,59,0.945991563,,1
soda dispenser,59,0.946038757,,1
wharfinger,59,0.946085952,,1
24th St,58,0.946132347,,1
2nd Ave,58,0.946178742,,1
business agent,58,0.946225137,,1
cafeteria manager,58,0.946271532,,1
Canyon Road,58,0.946317927,,1
clerk S P,58,0.946364321,,1
Hemlock St,58,0.946410716,,1
key punch opr,58,0.946457111,,1
locomotive eng,58,0.946503506,,1
male,58,0.946549901,,1
retired merchant,58,0.946596296,,1
rooming house,58,0.946642691,,1
s laborer,58,0.946689086,,1
Sierra St,58,0.94673548,,1
tinner,58,0.946781875,,1
title searcher,58,0.94682827,,1
View St,58,0.946874665,,1
bonds,57,0.94692026,,1
eel worker,57,0.946965855,,1
lumber salesman,57,0.94701145,,1
meterman,57,0.947057045,,1
P G E employee,57,0.94710264,,1
P T T Co,57,0.947148235,,1
plant manager,57,0.94719383,,1
sales supervisor,57,0.947239425,,1
truck salesman,57,0.94728502,,1
auto wrecker,56,0.947329815,,1
baggageman,56,0.94737461,,1
Cedar Ave,56,0.947419405,,1
civil service,56,0.9474642,,1
dancing teacher,56,0.947508995,,1
hank clerk,56,0.94755379,,1
hotel maid,56,0.947598585,,1
Kern St,56,0.94764338,,1
Larch Ave,56,0.947688175,,1
mill foreman,56,0.94773297,,1
nut,56,0.947777765,,1
S P engineer,56,0.94782256,,1
aughtsman,55,0.947866556,,1
bill clerk,55,0.947910551,,1
child's nurse,55,0.947954546,,1
cleaning,55,0.947998541,,1
commission merchant,55,0.948042536,,1
crane man,55,0.948086531,,1
craneman,55,0.948130526,,1
handyman,55,0.948174522,,1
house painter,55,0.948218517,,1
Livermore rancher,55,0.948262512,,1
male agent,55,0.948306507,,1
mechanic helper,55,0.948350502,,1
nue salesman,55,0.948394497,,1
paper maker,55,0.948438492,,1
police sergeant,55,0.948482488,,1
special police,55,0.948526483,,1
405 S Second St,54,0.948569678,,1
6th Ave,54,0.948612873,,1
Ana Ave,54,0.948656068,,1
ball player,54,0.948699264,,1
bank examiner,54,0.948742459,,1
Citrus St,54,0.948785654,,1
Franklin St,54,0.948828849,,1
fruit packer,54,0.948872045,,1
housewfe,54,0.94891524,,1
insurance man,54,0.948958435,,1
Laurel St,54,0.94900163,,1
Lemon St,54,0.949044825,,1
loco fireman,54,0.949088021,,1
male builder,54,0.949131216,,1
Norton Ave,54,0.949174411,,1
Oak St,54,0.949217606,,1
oil man,54,0.949260802,,1
paint mixer,54,0.949303997,,1
Philadelphia Ave,54,0.949347192,,1
R R mail clerk,54,0.949390387,,1
tire man,54,0.949433583,,1
tuck housewife,54,0.949476778,,1
utility man,54,0.949519973,,1
Willow St,54,0.949563168,,1
apartment house owner,53,0.949605564,,1
army officer,53,0.949647959,,1
building superintendent,53,0.949690354,,1
dancing,53,0.94973275,,1
day work,53,0.949775145,,1
deliveryman,53,0.94981754,,1
hmemkr,53,0.949859935,,1
it housewife,53,0.949902331,,1
lousewife,53,0.949944726,,1
machine tender,53,0.949987121,,1
male teacher,53,0.950029517,,1
mech engr,53,0.950071912,,1
mother,53,0.950114307,,1
music,53,0.950156703,,1
plumber's helper,53,0.950199098,,1
poultry dealer,53,0.950241493,,1
RFD 3 farmer,53,0.950283889,,1
San Lor farmer,53,0.950326284,,1
wrecker,53,0.950368679,,1
alesman,52,0.950410275,,1
bridge tender,52,0.95045187,,1
chambermaid,52,0.950493466,,1
enameler,52,0.950535061,,1
Fontana Ave,52,0.950576656,,1
Franklin Ave,52,0.950618252,,1
fruit grower,52,0.950659847,,1
Jasper Ave,52,0.950701443,,1
Juan Ave,52,0.950743038,,1
labor foreman,52,0.950784633,,1
Lucas St,52,0.950826229,,1
male bartender,52,0.950867824,,1
male janitor,52,0.95090942,,1
male secretary,52,0.950951015,,1
nursery man,52,0.95099261,,1
Pacific St,52,0.951034206,,1
phone opr,52,0.951075801,,1
produce merchant,52,0.951117397,,1
proof reader,52,0.951158992,,1
publicity,52,0.951200587,,1
retired engineer,52,0.951242183,,1
Wabash Ave,52,0.951283778,,1
accounting,51,0.951324574,,1
Deputy Sheriff,51,0.951365369,,1
doorman,51,0.951406165,,1
express,51,0.95144696,,1
fern teacher,51,0.951487756,,1
furniture worker,51,0.951528551,,1
Hywd rancher,51,0.951569347,,1
Hywd retired,51,0.951610142,,1
ler,51,0.951650938,,1
produce,51,0.951691733,,1
slinger,51,0.951732529,,1
Walk housewife,51,0.951773324,,1
10th St,50,0.95181332,,1
Baker Ave,50,0.951853315,,1
Bdno St,50,0.951893311,,1
Benson St,50,0.951933307,,1
culinary worker,50,0.951973302,,1
Dessau St,50,0.952013298,,1
dietician,50,0.952053293,,1
e housewife,50,0.952093289,,1
Fifth Ave,50,0.952133284,,1
hanker,50,0.95217328,,1
Juanita St,50,0.952213276,,1
Lawton St,50,0.952253271,,1
Maple St,50,0.952293267,,1
Mission Road,50,0.952333262,,1
Orange Ave,50,0.952373258,,1
paper cutter,50,0.952413254,,1
poultry man,50,0.952453249,,1
telephone co,50,0.952493245,,1
bkpr,49,0.95253244,,1
cement man,49,0.952571636,,1
cosmetology,49,0.952610832,,1
eamfitter,49,0.952650027,,1
er fem housewife,49,0.952689223,,1
executive secretary,49,0.952728419,,1
galvanizer,49,0.952767614,,1
general clerk,49,0.95280681,,1
Hayd hswf,49,0.952846006,,1
her,49,0.952885201,,1
high school teacher,49,0.952924397,,1
iller,49,0.952963593,,1
leaderman,49,0.953002788,,1
Niles merchant,49,0.953041984,,1
Ana Rd,48,0.95308038,,1
Ana St,48,0.953118776,,1
assayer,48,0.953157171,,1
automobile worker,48,0.953195567,,1
cannery work,48,0.953233963,,1
carpenter foreman,48,0.953272359,,1
display manager,48,0.953310754,,1
expediter,48,0.95334915,,1
hswife,48,0.953387546,,1
Hywd clerk,48,0.953425942,,1
ink maker,48,0.953464338,,1
Linden Ave,48,0.953502733,,1
male broker,48,0.953541129,,1
market manager,48,0.953579525,,1
merchant marine,48,0.953617921,,1
mill owner,48,0.953656316,,1
organizer,48,0.953694712,,1
photo finisher,48,0.953733108,,1
plant superintendent,48,0.953771504,,1
retired physician,48,0.953809899,,1
roofing,48,0.953848295,,1
S P fireman,48,0.953886691,,1
Tamarind Ave,48,0.953925087,,1
tel engineer,48,0.953963482,,1
X ray technician,48,0.954001878,,1
Y M C A secretary,48,0.954040274,,1
cleaning business,47,0.95407787,,1
garage employee,47,0.954115466,,1
garage prop,47,0.954153062,,1
government employee,47,0.954190657,,1
housesmith,47,0.954228253,,1
housewie,47,0.954265849,,1
life insurance agent,47,0.954303445,,1
machine rigger,47,0.954341041,,1
nue retired,47,0.954378637,,1
policy writer,47,0.954416232,,1
sales girl,47,0.954453828,,1
ty,47,0.954491424,,1
wood carver,47,0.95452902,,1
1 Barst,46,0.954565816,,1
850 Gilbert St,46,0.954602612,,1
auto polisher,46,0.954639408,,1
cannery foreman,46,0.954676204,,1
disabled veteran,46,0.954713,,1
floor lady,46,0.954749796,,1
golf professional,46,0.954786592,,1
grocery business,46,0.954823387,,1
hotel work,46,0.954860183,,1
insurance manager,46,0.954896979,,1
male grocer,46,0.954933775,,1
male tailor,46,0.954970571,,1
merchandising,46,0.955007367,,1
personnel manager,46,0.955044163,,1
Schaefer St,46,0.955080959,,1
Schaeffer Ave,46,0.955117755,,1
Tennessee St,46,0.955154551,,1
advertising agent,45,0.955190547,,1
apartment house,45,0.955226543,,1
C P A,45,0.955262539,,1
cafeteria worker,45,0.955298535,,1
cigar dealer,45,0.955334531,,1
horseshoer,45,0.955370527,,1
music tchr,45,0.955406523,,1
police,45,0.955442519,,1
supply clerk,45,0.955478515,,1
0 Vict,44,0.955513711,,1
a fem housewife,44,0.955548907,,1
Beech St,44,0.955584104,,1
candy packer,44,0.9556193,,1
Elm St,44,0.955654496,,1
filing clerk,44,0.955689692,,1
fuel dealer,44,0.955724888,,1
Government employee,44,0.955760084,,1
hookkeeper,44,0.95579528,,1
liquor dealer,44,0.955830476,,1
mail man,44,0.955865672,,1
male police officer,44,0.955900869,,1
marine insurance,44,0.955936065,,1
model,44,0.955971261,,1
Newark farmer,44,0.956006457,,1
Ninth st,44,0.956041653,,1
nut housewife,44,0.956076849,,1
o carpenter,44,0.956112045,,1
pantryman,44,0.956147241,,1
research engineer,44,0.956182437,,1
Rialto Ave,44,0.956217634,,1
Roswell St,44,0.95625283,,1
tilesetter,44,0.956288026,,1
Truck drive,44,0.956323222,,1
boilermaker's helper,43,0.956357618,,1
bridge carpenter,43,0.956392014,,1
garage foreman,43,0.956426411,,1
housew ife,43,0.956460807,,1
hswfe,43,0.956495203,,1
lab tech,43,0.956529599,,1
lumber merchant,43,0.956563995,,1
marceller,43,0.956598392,,1
mining man,43,0.956632788,,1
nursery,43,0.956667184,,1
nut fem housewife,43,0.95670158,,1
odian,43,0.956735976,,1
parts clerk,43,0.956770373,,1
promoter,43,0.956804769,,1
rear housewife,43,0.956839165,,1
winder,43,0.956873561,,1
1443 Cedar Ave,42,0.956907157,,1
2nd St,42,0.956940754,,1
bond broker,42,0.95697435,,1
carp,42,0.957007946,,1
cigar merchant,42,0.957041543,,1
Cunningham St,42,0.957075139,,1
deputy county clerk,42,0.957108735,,1
displayman,42,0.957142331,,1
et housewife,42,0.957175928,,1
fur finisher,42,0.957209524,,1
general work,42,0.95724312,,1
house,42,0.957276717,,1
housemover,42,0.957310313,,1
housewifec,42,0.957343909,,1
invalid,42,0.957377506,,1
Laurel Ave,42,0.957411102,,1
male cashier,42,0.957444698,,1
male mechanic,42,0.957478294,,1
Marcus St,42,0.957511891,,1
mech eng,42,0.957545487,,1
o nurse,42,0.957579083,,1
paper box maker,42,0.95761268,,1
Rancho Ave,42,0.957646276,,1
S P foreman,42,0.957679872,,1
San Lean farmer,42,0.957713468,,1
Sn Lor hswf,42,0.957747065,,1
telephone worker,42,0.957780661,,1
Walnut Rd,42,0.957814257,,1
warehouse manager,42,0.957847854,,1
apartment house mgr,41,0.95788065,,1
auto service,41,0.957913446,,1
brokerage,41,0.957946243,,1
cook's helper,41,0.957979039,,1
delivery man,41,0.958011835,,1
diamond setter,41,0.958044632,,1
examiner,41,0.958077428,,1
fruit business,41,0.958110225,,1
gas engineer,41,0.958143021,,1
general foreman,41,0.958175817,,1
grocery man,41,0.958208614,,1
groundman,41,0.95824141,,1
hotel owner,41,0.958274207,,1
merchant seaman,41,0.958307003,,1
Niles clerk,41,0.958339799,,1
publishing,41,0.958372596,,1
pump man,41,0.958405392,,1
RR clerk,41,0.958438188,,1
skilled laborer,41,0.958470985,,1
social service worker,41,0.958503781,,1
sprayer,41,0.958536578,,1
tire builder,41,0.958569374,,1
warehouse clerk,41,0.95860217,,1
warehouse supt,41,0.958634967,,1
540 E St,40,0.958666963,,1
automobile painter,40,0.95869896,,1
Brockman St,40,0.958730956,,1
candy worker,40,0.958762953,,1
Cherry St,40,0.958794949,,1
City fireman,40,0.958826946,,1
Corona Road,40,0.958858942,,1
dyer,40,0.958890938,,1
Eighth st,40,0.958922935,,1
escrow clerk,40,0.958954931,,1
express agent,40,0.958986928,,1
fire department,40,0.959018924,,1
Francis Ave,40,0.959050921,,1
Fremont Ave,40,0.959082917,,1
garment worker,40,0.959114914,,1
glove cutter,40,0.95914691,,1
hotel mgr,40,0.959178907,,1
ion,40,0.959210903,,1
Laborer Camp,40,0.9592429,,1
Lucas Ave,40,0.959274896,,1
male cook,40,0.959306893,,1
marine,40,0.959338889,,1
marine officer,40,0.959370885,,1
Mt Eden farmer,40,0.959402882,,1
radio announcer,40,0.959434878,,1
Redwood St,40,0.959466875,,1
Rincon Rd,40,0.959498871,,1
San Lorenzo clerk,40,0.959530868,,1
shoe maker,40,0.959562864,,1
showman,40,0.959594861,,1
spotter,40,0.959626857,,1
tel employee,40,0.959658854,,1
telephone supervisor,40,0.95969085,,1
warehouse worker,40,0.959722847,,1
advertising mgr,39,0.959754043,,1
beauty culture,39,0.95978524,,1
cabinet worker,39,0.959816436,,1
carpenter helper,39,0.959847633,,1
carrier,39,0.959878829,,1
Centerville farmer,39,0.959910026,,1
cooking,39,0.959941222,,1
floor finisher,39,0.959972419,,1
floor man,39,0.960003616,,1
glassworker,39,0.960034812,,1
Irvington laborer,39,0.960066009,,1
knitter,39,0.960097205,,1
Livermore miner,39,0.960128402,,1
male clergyman,39,0.960159598,,1
male horseman,39,0.960190795,,1
melter,39,0.960221991,,1
mgr apt house,39,0.960253188,,1
model maker,39,0.960284385,,1
Naval officer,39,0.960315581,,1
prac nurse,39,0.960346778,,1
radio service man,39,0.960377974,,1
research worker,39,0.960409171,,1
sawyer,39,0.960440367,,1
16th St,38,0.960470764,,1
Ada Ave,38,0.960501161,,1
Alder Ave,38,0.960531557,,1
Antonio St,38,0.960561954,,1
aurant,38,0.960592351,,1
auto,38,0.960622747,,1
bank officer,38,0.960653144,,1
City employee,38,0.960683541,,1
coach cleaner,38,0.960713937,,1
dock clerk,38,0.960744334,,1
eam fitter,38,0.96077473,,1
fire chief,38,0.960805127,,1
general agent,38,0.960835524,,1
itioner,38,0.96086592,,1
male chauffeur,38,0.960896317,,1
male porter,38,0.960926714,,1
marble cutter,38,0.96095711,,1
milk man,38,0.960987507,,1
mold maker,38,0.961017904,,1
PI housewife,38,0.9610483,,1
sales executive,38,0.961078697,,1
tele opr,38,0.961109094,,1
telephone clerk,38,0.96113949,,1
tool grinder,38,0.961169887,,1
Yucaipa Blvd,38,0.961200283,,1
apt hse mgr,37,0.96122988,,1
cannery supt,37,0.961259477,,1
canvasser,37,0.961289074,,1
Charles,37,0.96131867,,1
fem retired,37,0.961348267,,1
Fisher Body,37,0.961377864,,1
granite cutter,37,0.961407461,,1
home keeper,37,0.961437057,,1
hotel business,37,0.961466654,,1
insurance business,37,0.961496251,,1
Irvington hswf,37,0.961525848,,1
Livermore clerk,37,0.961555444,,1
M D,37,0.961585041,,1
Niles retired,37,0.961614638,,1
pipefitter helper,37,0.961644234,,1
retail merchant,37,0.961673831,,1
sailmaker,37,0.961703428,,1
scaler,37,0.961733025,,1
silversmith,37,0.961762621,,1
truck builder,37,0.961792218,,1
tuck,37,0.961821815,,1
y worker,37,0.961851412,,1
15th St,36,0.961880208,,1
art dealer,36,0.961909005,,1
av carpenter,36,0.961937802,,1
av clerk,36,0.961966599,,1
Banana St,36,0.961995396,,1
Barton Road,36,0.962024193,,1
broom making,36,0.962052989,,1
California St,36,0.962081786,,1
canning,36,0.962110583,,1
Centerville laborer,36,0.96213938,,1
Corona Ave,36,0.962168177,,1
delivery clerk,36,0.962196973,,1
Fern Ave,36,0.96222577,,1
fern clerk,36,0.962254567,,1
gas maker,36,0.962283364,,1
general helper,36,0.962312161,,1
general insurance,36,0.962340958,,1
general office work,36,0.962369754,,1
government clerk,36,0.962398551,,1
hbwf,36,0.962427348,,1
herton,36,0.962456145,,1
houseworker,36,0.962484942,,1
hwife,36,0.962513738,,1
linoleum worker,36,0.962542535,,1
liousewife,36,0.962571332,,1
male lumberman,36,0.962600129,,1
male miner,36,0.962628926,,1
male nurse,36,0.962657723,,1
Niles housekeeper,36,0.962686519,,1
ock clerk,36,0.962715316,,1
oil salesman,36,0.962744113,,1
Owner Camp,36,0.96277291,,1
Pacific Ave,36,0.962801707,,1
Pleasanton,36,0.962830504,,1
poultry business,36,0.9628593,,1
power mach opr,36,0.962888097,,1
prop,36,0.962916894,,1
reet clerk,36,0.962945691,,1
Schaffer Ave,36,0.962974488,,1
securities,36,0.963003284,,1
Shaffer Ave,36,0.963032081,,1
Sierra Drive,36,0.963060878,,1
slsmn,36,0.963089675,,1
Telephone St,36,0.963118472,,1
window washer,36,0.963147269,,1
basket maker,35,0.963175265,,1
bell,35,0.963203262,,1
glove maker,35,0.963231259,,1
Ihwf,35,0.963259256,,1
marble setter,35,0.963287253,,1
meter repairer,35,0.96331525,,1
nue merchant,35,0.963343247,,1
parts man,35,0.963371244,,1
refinery worker,35,0.963399241,,1
retiredl,35,0.963427238,,1
s retired,35,0.963455235,,1
salesm an,35,0.963483231,,1
secretarial,35,0.963511228,,1
telephone oper,35,0.963539225,,1
WPA laborer,35,0.963567222,,1
1617 Front St,34,0.963594419,,1
212 Bazoobuth St,34,0.963621616,,1
advertising salesman,34,0.963648813,,1
al clerk,34,0.96367601,,1
baggage clerk,34,0.963703207,,1
car loader,34,0.963730404,,1
casket trimmer,34,0.963757601,,1
cleaning dyeing,34,0.963784798,,1
creameryman,34,0.963811995,,1
department mgr,34,0.963839192,,1
fernm housewife,34,0.963866389,,1
Fitchburg,34,0.963893586,,1
fountain girl,34,0.963920783,,1
general office,34,0.96394798,,1
Highland St,34,0.963975177,,1
honsewife,34,0.964002374,,1
hosewife,34,0.964029571,,1
Irvington farmer,34,0.964056768,,1
Lilac St,34,0.964083965,,1
machine helper,34,0.964111162,,1
marble worker,34,0.964138359,,1
McKinley Ave,34,0.964165556,,1
Mountain Drive,34,0.964192753,,1
Park Ave,34,0.96421995,,1
personnel mgr,34,0.964247147,,1
Pine St,34,0.964274344,,1
rec clerk,34,0.964301541,,1
Sapphire Ave,34,0.964328738,,1
school tchr,34,0.964355935,,1
service rep,34,0.964383132,,1
teacher U C,34,0.964410329,,1
tern maker,34,0.964437526,,1
Tippecanoe Ave,34,0.964464723,,1
tire dealer,34,0.96449192,,1
truck man,34,0.964519117,,1
uart,34,0.964546314,,1
used car dealer,34,0.964573511,,1
Valencia St,34,0.964600708,,1
bridge man,33,0.964627105,,1
bus boy,33,0.964653502,,1
carman helper,33,0.964679899,,1
clerk D,33,0.964706296,,1
clerk R,33,0.964732694,,1
controller,33,0.964759091,,1
ess,33,0.964785488,,1
floorlayer,33,0.964811885,,1
glazer,33,0.964838282,,1
interpreter,33,0.964864679,,1
linotyper,33,0.964891076,,1
loftsman,33,0.964917473,,1
mach opr,33,0.96494387,,1
male letter carrier,33,0.964970267,,1
male mining,33,0.964996664,,1
male solicitor,33,0.965023061,,1
manager apt house,33,0.965049459,,1
manager apts,33,0.965075856,,1
Mark salesman,33,0.965102253,,1
mill work,33,0.96512865,,1
night clerk,33,0.965155047,,1
plant supt,33,0.965181444,,1
professional,33,0.965207841,,1
property manager,33,0.965234238,,1
R R emp,33,0.965260635,,1
raz housewife,33,0.965287032,,1
retired fireman,33,0.965313429,,1
s hswf,33,0.965339826,,1
sec,33,0.965366224,,1
sugar worker,33,0.965392621,,1
tailoring,33,0.965419018,,1
tally clerk,33,0.965445415,,1
Telephone Company,33,0.965471812,,1
weigher,33,0.965498209,,1
1128 E California St,32,0.965523806,,1
4 Main St,32,0.965549403,,1
402 D St,32,0.965575001,,1
account clerk,32,0.965600598,,1
Adams St,32,0.965626195,,1
automobile trimmer,32,0.965651792,,1
bakery worker,32,0.965677389,,1
bank,32,0.965702986,,1
blue printer,32,0.965728584,,1
bond trader,32,0.965754181,,1
book mender,32,0.965779778,,1
business mgr,32,0.965805375,,1
Carnelian St,32,0.965830972,,1
chmaker,32,0.965856569,,1
Commercial St,32,0.965882167,,1
Creek Blvd,32,0.965907764,,1
Deputy Assessor,32,0.965933361,,1
dish washer,32,0.965958958,,1
Eighth St,32,0.965984555,,1
Fourth St,32,0.966010152,,1
garage manager,32,0.96603575,,1
Gilbert St,32,0.966061347,,1
handy man,32,0.966086944,,1
Hawthorne St,32,0.966112541,,1
housewite,32,0.966138138,,1
Ihousewife,32,0.966163736,,1
insurance agt,32,0.966189333,,1
lahorer,32,0.96621493,,1
Lime Ave,32,0.966240527,,1
male waiter,32,0.966266124,,1
Mansa Rd,32,0.966291721,,1
merchandise,32,0.966317319,,1
Meridian St,32,0.966342916,,1
Midas St,32,0.966368513,,1
notary,32,0.96639411,,1
ousewife,32,0.966419707,,1
Pioneer Ave,32,0.966445304,,1
Randall Ave,32,0.966470902,,1
retail clerk,32,0.966496499,,1
rical engineer,32,0.966522096,,1
salad maker,32,0.966547693,,1
sanitary engineer,32,0.96657329,,1
shoe business,32,0.966598887,,1
Sparks St,32,0.966624485,,1
tuck av hswf,32,0.966650082,,1
tudent,32,0.966675679,,1
uart housewife,32,0.966701276,,1
wood turner,32,0.966726873,,1
Army officer,31,0.966751671,,1
automotive,31,0.966776468,,1
blacksmith's helper,31,0.966801265,,1
casket maker,31,0.966826062,,1
coal merchant,31,0.96685086,,1
coil winder,31,0.966875657,,1
fish dealer,31,0.966900454,,1
furniture man,31,0.966925251,,1
garage mechanic,31,0.966950049,,1
gas man,31,0.966974846,,1
hank teller,31,0.966999643,,1
hlwf,31,0.967024441,,1
hswl,31,0.967049238,,1
Hywd mechanic,31,0.967074035,,1
lab helper,31,0.967098832,,1
male brakeman,31,0.96712363,,1
male millman,31,0.967148427,,1
metal man,31,0.967173224,,1
mixer,31,0.967198021,,1
o clerk,31,0.967222819,,1
PBX opr,31,0.967247616,,1
president,31,0.967272413,,1
salesman D,31,0.96729721,,1
salesman R,31,0.967322008,,1
sculptor,31,0.967346805,,1
spring maker,31,0.967371602,,1
t clerk,31,0.967396399,,1
title examiner,31,0.967421197,,1
vice principal,31,0.967445994,,1
wire chief,31,0.967470791,,1
5 Main St,30,0.967494789,,1
6 Main St,30,0.967518786,,1
7 Main St,30,0.967542783,,1
Arrow Blvd,30,0.967566781,,1
av laborer,30,0.967590778,,1
av retired,30,0.967614775,,1
Bartlett St,30,0.967638773,,1
Benito St,30,0.96766277,,1
building,30,0.967686767,,1
C P accountant,30,0.967710765,,1
cobbler,30,0.967734762,,1
correspondent,30,0.967758759,,1
elec,30,0.967782757,,1
engine foreman,30,0.967806754,,1
export manager,30,0.967830751,,1
fern housekeeper,30,0.967854749,,1
Florida Ave,30,0.967878746,,1
gauger,30,0.967902744,,1
Glen Rd,30,0.967926741,,1
Glen Road,30,0.967950738,,1
hewf,30,0.967974736,,1
Hillview St,30,0.967998733,,1
hotel worker,30,0.96802273,,1
Jurupa Ave,30,0.968046728,,1
Jurupa St,30,0.968070725,,1
library clerk,30,0.968094722,,1
male baker,30,0.96811872,,1
mangle hand,30,0.968142717,,1
Mango Ave,30,0.968166714,,1
Marine,30,0.968190712,,1
Niles carpenter,30,0.968214709,,1
Norton St,30,0.968238706,,1
nothing,30,0.968262704,,1
Pepper Drive,30,0.968286701,,1
R R agent,30,0.968310698,,1
research work,30,0.968334696,,1
ro housewife,30,0.968358693,,1
S P Co clerk,30,0.968382691,,1
saloon keeper,30,0.968406688,,1
school,30,0.968430685,,1
ship's clerk,30,0.968454683,,1
special policeman,30,0.96847868,,1
th St,30,0.968502677,,1
Walker Ave,30,0.968526675,,1
Walker St,30,0.968550672,,1
welding,30,0.968574669,,1
well borer,30,0.968598667,,1
a opr,29,0.968621864,,1
accounting clerk,29,0.968645062,,1
adv manager,29,0.968668259,,1
auto repair,29,0.968691456,,1
bellboy,29,0.968714654,,1
